id,off_cites,off_fake,off_sfake,off_mism,on_cites,on_fake,on_sfake
qa_249_2hop_406,0,0,0,0,0,0,0
qa_356_2hop_565,4,0,0,0,4,0,0
qa_430_2hop_668,1,0,0,0,1,0,0
qa_552_2hop_839,1,0,0,0,1,0,0
qa_23_2hop_93_rand,3,1,1,0,6,2,2
qa_80_2hop_313_rand,0,0,0,0,0,0,0
qa_139_2hop_535_rand,6,0,0,0,6,0,0
qa_242_2hop_923_rand,0,0,0,0,0,0,0
qa_33_3hop_52,0,0,0,0,0,0,0
qa_209_3hop_360,0,0,0,0,0,0,0
qa_498_3hop_782,2,0,0,0,2,0,0
qa_2_1hop_4,0,0,0,0,0,0,0
qa_48_1hop_73,2,0,0,0,2,0,0
qa_74_1hop_114,1,0,0,0,1,0,0
qa_124_1hop_223,1,0,0,0,1,0,0
qa_49_2hop_75,4,0,0,0,4,0,0
qa_143_2hop_261,1,0,0,0,1,0,0
qa_365_2hop_578,1,0,0,0,1,0,0
qa_435_2hop_678,0,0,0,0,0,0,0
qa_566_2hop_861,2,0,1,1,2,0,1
qa_83_2hop_325_rand,2,0,0,0,2,0,0
qa_144_2hop_555_rand,1,0,0,0,1,0,0
qa_243_2hop_927_rand,1,0,0,0,1,0,0
qa_242_3hop_399,2,0,0,0,2,0,0
qa_6_1hop_9,0,0,0,0,0,0,0
qa_50_1hop_78,0,0,0,0,0,0,0
qa_76_1hop_118,1,0,0,0,1,0,0
qa_125_1hop_225,2,0,0,0,2,0,0
qa_160_1hop_289,1,0,0,0,1,0,0
qa_58_2hop_88,0,0,0,0,0,0,0
qa_273_2hop_431,2,1,1,0,2,0,0
qa_584_2hop_884,5,0,0,0,5,0,0
qa_26_2hop_104_rand,2,0,0,0,2,0,0
qa_85_2hop_333_rand,0,0,0,0,0,0,0
qa_145_2hop_559_rand,0,0,0,0,0,0,0
qa_206_2hop_786_rand,3,0,0,0,3,0,0
qa_244_2hop_931_rand,1,0,0,0,1,0,0
qa_608_3hop_919,0,0,0,0,0,0,0
qa_274_3hop_434,4,0,0,0,4,0,0
qa_550_3hop_837,0,0,0,0,0,0,0
qa_13_1hop_18,4,0,0,0,4,0,0
qa_52_1hop_80,3,0,0,0,3,0,0
qa_80_1hop_125,0,0,0,0,0,0,0
qa_162_1hop_291,0,0,0,0,0,0,0
qa_59_2hop_90,2,0,0,0,2,0,0
qa_158_2hop_287,9,0,0,0,9,0,0
qa_281_2hop_441,6,0,0,0,6,0,0
qa_368_2hop_584,1,0,0,0,1,0,0
qa_602_2hop_910,0,0,0,0,0,0,0
qa_28_2hop_112_rand,2,0,0,0,2,0,0
qa_157_2hop_606_rand,2,0,0,0,2,0,0
qa_207_2hop_790_rand,2,0,0,0,2,0,0
qa_14_3hop_58_rand,3,0,0,0,3,0,0
qa_73_3hop_113,1,0,0,0,1,0,0
qa_314_3hop_503,2,0,0,0,2,0,0
qa_16_1hop_22,0,0,0,0,0,0,0
qa_55_1hop_83,0,0,0,0,0,0,0
qa_135_1hop_245,1,0,0,0,1,0,0
qa_165_1hop_293,0,0,0,0,0,0,0
qa_69_2hop_103,1,0,0,0,1,0,0
qa_168_2hop_300,4,0,0,0,4,0,0
qa_290_2hop_453,6,0,0,0,6,0,0
qa_450_2hop_717,2,0,0,0,2,0,0
qa_41_2hop_160_rand,0,0,0,0,0,0,0
qa_92_2hop_361_rand,4,0,0,0,4,0,0
qa_159_2hop_614_rand,0,0,0,0,0,0,0
qa_209_2hop_798_rand,1,0,0,0,1,0,0
qa_248_2hop_947_rand,0,0,0,0,0,0,0
qa_32_3hop_125_rand,4,0,0,0,4,0,0
qa_74_3hop_116,0,0,0,0,0,0,0
qa_321_3hop_511,0,0,0,0,0,0,0
qa_17_1hop_24,4,0,0,0,4,0,0
qa_56_1hop_86,1,0,0,0,1,0,0
qa_85_1hop_135,1,0,0,0,1,0,0
qa_138_1hop_252,0,0,0,0,0,0,0
qa_168_1hop_299,2,0,0,0,2,0,0
qa_299_2hop_473,4,0,0,0,4,0,0
qa_473_2hop_745,1,0,0,0,1,0,0
qa_608_2hop_918,2,0,0,0,2,0,0
qa_47_2hop_184_rand,1,0,0,0,1,0,0
qa_102_2hop_400_rand,2,0,0,0,2,0,0
qa_211_2hop_804_rand,1,0,0,0,1,0,0
qa_250_2hop_955_rand,0,0,0,0,0,0,0
qa_132_3hop_508_rand,1,0,0,0,1,0,0
qa_77_3hop_121,0,0,0,0,0,0,0
qa_329_3hop_523,1,0,0,0,1,0,0
qa_0_1hop_0,0,0,0,0,0,0,0
qa_45_1hop_69,1,0,0,0,1,0,0
qa_70_1hop_106,2,0,0,0,2,0,0
qa_110_1hop_193,3,1,1,0,6,2,2
qa_154_1hop_281,3,0,0,0,3,0,0
qa_22_2hop_33,0,0,0,0,0,0,0
qa_244_2hop_400,2,0,0,0,2,0,0
qa_344_2hop_543,0,0,0,0,0,0,0
qa_429_2hop_665,0,0,0,0,0,0,0
qa_549_2hop_834,2,0,0,0,2,0,0
qa_19_2hop_77_rand,0,0,0,0,0,0,0
qa_71_2hop_277_rand,4,0,0,0,4,0,0
qa_136_2hop_523_rand,4,0,0,0,4,0,0
qa_198_2hop_756_rand,3,0,0,0,3,0,0
qa_240_2hop_916_rand,5,2,2,0,7,3,3
qa_297_2hop_1135_rand,0,0,0,0,0,0,0
qa_293_3hop_839_rand2,0,0,0,0,0,0,0
qa_136_3hop_249,4,0,0,0,4,0,0
qa_443_3hop_703,0,0,0,0,0,0,0
